gene	logFC	logCPM	PValue	FDR
Usp46	-1.17115307146904	5.86545619628987	8.54032374312404e-13	7.81292375534761e-11
Tdrd5	-1.28843108707511	7.38920426806967	8.77105215836351e-13	7.96904156717068e-11
Clmn	-1.43436440992595	5.93168445215503	9.54118843180632e-13	8.60978670393951e-11
Brinp2	-1.77223493334566	4.64131989935074	9.95752105799135e-13	8.92476465096319e-11
Gm10499	1.57340162703968	5.44235429161679	1.11065634233783e-12	9.88782307457139e-11
Tppp	-1.76796858099751	4.77758566421802	1.46451331721617e-12	1.29511794352484e-10
Mpp5	-1.14267172250957	8.0862372166262	1.48354269787598e-12	1.30325787333277e-10
Unc13c	4.16720487317848	1.65368136369411	2.185061094434e-12	1.90689706695178e-10
Aagab	-1.09420049162524	6.61414316807278	2.30128937228032e-12	1.99520284466003e-10
Icam1	1.34809386242208	6.18820989647995	2.85078626020816e-12	2.45556361958839e-10
Vtcn1	-1.68558624356077	4.43756365974193	3.72634688856547e-12	3.189031708182e-10
Sele	2.70998138446921	2.70139316864461	3.81609316599298e-12	3.244902297878e-10
