gene	logFC	logCPM	PValue	FDR
2900052L18Rik	1.17005241302801	4.3679954138844	7.04049267781596e-05	0.00770568838606556
Gadd45b	1.26316088295977	5.47262222925576	7.05299709730661e-05	0.00770568838606556
Mgam	-1.00631927340021	6.87851412423817	7.19047264563546e-05	0.00779201706452643
Sla	-1.3331296621606	2.93067124270539	7.3836659627184e-05	0.00791961854050103
Acot2	0.943793819429916	5.1785726794096	7.42705617497659e-05	0.00791961854050103
Ces1g	-1.81852804002815	1.17032437380652	7.5850798276182e-05	0.00802393087478754
Ptprt	3.20989661666819	-0.585881684360269	7.69624296807475e-05	0.00807741909617861
Lncpint	1.96839901076412	0.226073569183275	9.00914927986304e-05	0.00938148052744489
Mgat5b	-1.57124466233105	3.47936218523724	9.44978115306043e-05	0.00969273162916854
Gpihbp1	1.21877397202525	4.50536963254897	9.45348572129875e-05	0.00969273162916854
Sult1a1	1.007616944476	6.06228916148206	9.58690317791161e-05	0.00975449102735755
Tgtp2	1.68003406431571	4.06476523119202	9.73771100096832e-05	0.00983287499484142
Nfkbie	1.13540203805428	5.17516837234138	9.92243669979629e-05	0.00994407208808907
Anxa3	1.01032112676127	6.86729411682845	0.00010083598243782	0.0100301702232366
Psmb9	1.27656111497817	4.02263236258456	0.000105029099673174	0.0103698731077314
Srgap3	1.49211413593646	3.58424974159337	0.000113408337159984	0.0111148509265104
Pak1	-0.959764470275465	8.1546779430119	0.000115611275214541	0.0112480488126615
Htr7	-1.41074202230635	1.61489324907991	0.000120005463122014	0.0115909624489372
Tmc7	-1.11013796427513	5.31023503771778	0.000124902175639559	0.0119771302093502
Magi2	-1.31743912883328	7.49436341893992	0.00012619814082575	0.012014964421903
Csrnp1	0.99141928593452	6.44530997991233	0.00013308125694552	0.0125804260555095
Chordc1	-1.04899302549533	6.66916049158524	0.000138592145721884	0.0130091176783591
Ifit1	1.24339101889549	4.16858012773187	0.000149209500152263	0.0139077862065001
