gene	baseMean	log2FC_interaction	lfcSE	stat	pvalue	padj
Sun1	6732.06982502399	-0.110744672114268	0.155596883692668	-0.711740939060253	0.476625211552146	0.869866594780969
Dazap2	12646.5910526121	0.130352843631407	0.183147910176946	0.711735359172095	0.476628667482794	0.869866594780969
Muc13	7.49121352258547	1.19770724073817	1.682892283647	0.711695723116995	0.476653216659737	NA
Fam71e1	69.9513029131889	-0.370699736507608	0.520892163580015	-0.71166310884741	0.476673417309324	0.869866594780969
Fbxo48	29.5786274563212	-0.610092800520012	0.857346709495408	-0.711605694362649	0.476708979873119	NA
Neurod1	1.05338006539136	-4.2595579063228	5.98626503666389	-0.711555181776018	0.476740268598864	NA
Gm12764	55.9667021371698	-0.38781020228056	0.545051686221671	-0.711510875177513	0.476767714110346	0.869924809596446
Sppl2c	1.29013708242837	-3.08811133888895	4.34048439037377	-0.711466984131471	0.476794903062921	NA
Stil	35.0073539353982	0.577281336457046	0.811631728745087	0.711260188595159	0.476923017016257	NA
Tcp10c	2.59377786235891	1.99154589410033	2.80005515967023	0.711252379162014	0.476927855484913	NA
AI847159	1.01098251506102	4.46169644054029	6.27607883005006	0.710905098766055	0.477143046197349	NA
Zfp511	474.096156983744	0.174755778224644	0.245886998414513	0.710715813977457	0.477260358026177	0.870482252247117
Myh4	1.6590818368771	-2.28152816629055	3.21022568584728	-0.710706470373401	0.477266149260986	NA
Homer2	48.1880276829632	-0.487690158341191	0.686247033167975	-0.710662683800364	0.477293289014761	0.870482252247117
Pip5k1a	2729.56624477349	0.121023600771063	0.170301958258938	0.710641275111183	0.477306558836376	0.870482252247117
Pitpnb	5653.57667885729	0.116914055898204	0.164576771051837	0.710392208760616	0.477460953327067	0.870482252247117
Deaf1	1685.77524452104	-0.114691725127323	0.161449139014418	-0.71038920261495	0.477462816982635	0.870482252247117
Mir7651	4.25132495145664	-1.31774438985907	1.8550753578611	-0.710345476950557	0.477489925093695	NA
Rasa4	250.338665116435	-0.249920281828199	0.351834410250181	-0.710334960274312	0.477496445125444	0.870482252247117
Blcap	1625.22134942484	0.114567887416604	0.161324782513381	0.710169173214921	0.477599234690206	0.870482252247117
Plin4	68.5501322310284	-0.452385911332655	0.637097604222331	-0.71007316356943	0.477658767124044	0.870482252247117
