rank_position	gene	stat
695	Dusp14	2.58085445696052
696	Crispld2	2.57993585703484
697	Gm12250	2.57979070020627
698	Irgm2	2.57921356400873
699	Niban1	2.57919715161631
700	Fam171a2	2.57735118977806
701	Ehbp1l1	2.5768212688866
702	Itm2c	2.57568294795801
703	Ctps	2.57534859708491
704	Pdlim2	2.57330550549446
705	Hck	2.57317797031521
706	S100a8	2.57068081579942
707	Serpinb6a	2.56978055395438
708	Nploc4	2.5680854740026
709	Tbc1d2	2.56774175033741
710	Olfml2b	2.56681009151883
711	Unc13a	2.56659864209944
712	Wars	2.56602651282293
713	S100a11	2.56509183120033
714	Phldb1	2.56390616004088
715	Lpxn	2.56367721615408
716	Mapre1	2.56194818675679
717	Il1b	2.56111608503762
718	Shc1	2.55916195163453
719	Tpm3	2.55867902902514
720	Gnb2	2.55817230678274
721	Psmb9	2.55776890776758
722	Cstdc5	2.55670267349431
723	Ldb2	2.55442125892933
724	Tnip1	2.55406080522031
725	Rnh1	2.55357241393251
726	Prkch	2.55232414091466
727	Tap2	2.55177625142972
728	Epor	2.55011469054288
729	Hmgcr	2.54937578971026
730	Cxcl1	2.54549197354728
731	Tmem251	2.54505631718481
732	Lims2	2.54470917386569
733	Dusp8	2.54449730540316
734	Eef1akmt1	2.54324867971622
735	Get3	2.54252069566051
736	Mcrip1	2.54094332609638
737	Prmt7	2.54062189572088
738	Ephx3	2.54040170701567
739	Tmem123	2.5386539522193
740	Nfkb1	2.53758773752379
741	Tuba1b	2.53708445537664
742	Taldo1	2.53522490651815
743	Myo1f	2.5345695445416
744	3010003L21Rik	2.53385767347054
745	Plin2	2.5338383703177
746	Cd34	2.53364270670163
747	Plaa	2.53124344219427
748	H2-M3	2.52679868836354
749	Rassf1	2.52515973368044
750	Anln	2.52472139519349
751	Gm30214	2.52328974690447
752	Tmem189	2.52186797939867
753	Serpinb9b	2.52018953725323
754	Icam1	2.52010028290979
755	Limd2	2.51973367300078
756	Abi3	2.5197124575712
757	Micall2	2.51639542171423
758	Vdac2	2.51568060275138
759	Plau	2.51564898311716
760	Rpl37rt	2.51377396681348
761	Slc25a24	2.51234127413738
762	Gdpd5	2.51177584348197
763	Asns	2.51127801827656
764	Slc12a2	2.50933401484902
765	Ly6e	2.50591596972007
766	Fbxo2	2.50421902226326
767	Ido1	2.50282216537209
768	Jup	2.50267377401081
769	Lrrc41	2.50163981877736
770	Nfkbib	2.50053441060018
771	Hcls1	2.49987585498485
772	Actc1	2.49980681180543
773	Junb	2.49632380016385
774	Tnfaip1	2.49619388333102
775	Ube2c	2.49618556705988
776	Mir22hg	2.49333343164939
777	Nop58	2.49166346552834
778	Fbln5	2.49109898173453
779	Gspt1	2.49097579981613
780	Arf1	2.4903849973369
781	Stk4	2.48943307554447
782	Hoxc11	2.4890146532405
783	Stxbp1	2.4883030523989
784	Plp2	2.48659286460967
785	Mrpl54	2.48368396663848
786	Kif18b	2.48337963934571
787	Rps2	2.48327528364418
788	Ssna1	2.48234003234503
789	Oas1c	2.4812593897327
790	Morf4l2	2.48107058688263
791	Elmo2	2.48076919217598
792	Klrc1	2.47963441533655
793	Neurl3	2.47938312349528
794	Ogg1	2.47918734510622
795	Stmn2	2.47915086900317
796	Ier3	2.47884322491117
797	Stat4	2.47767389352942
798	Sdk1	2.4770274397576
799	Shcbp1	2.47486416737363
800	Card19	2.4713660519387
801	Mrpl17	2.47034546912836
802	Itga11	2.46973161997089
803	Scd1	2.46953813065057
804	Ube2l6	2.46888730640227
805	Ccnyl1	2.46795697271154
806	Fkbp1a	2.46643700704492
807	Cks1b	2.46496068423176
808	Naa20	2.46442063793162
809	Slc12a4	2.46288177195388
810	Arpc3	2.45936157135088
811	Psmb7	2.45906313554506
