rank_position	gene	stat
772	2210416O15Rik	3.5503651832563
773	Tbc1d9	3.54976917861312
774	Pcdh20	3.5481151242632
775	Serp2	3.54624815466849
776	Ctnna2	3.54612893301802
777	Parl	3.54291109545074
778	Fbxo6	3.5407746661927
779	Mtdh	3.5333968583335
780	Snrpd1	3.530717286058
781	Actb	3.529558181108
782	Mpg	3.52887630942676
783	Mmp2	3.52862866466048
784	Plk2	3.52847050244802
785	Frem1	3.52554056981917
786	Pak1ip1	3.52167193390861
787	Nucks1	3.52066903449916
788	Csgalnact1	3.52039322185276
789	Fbxw9	3.52017572351486
790	Nectin2	3.51914183668528
791	Mcub	3.51815953112531
792	Spn	3.51236362961109
793	Glrx3	3.51229897945748
794	Nipa2	3.5092957065915
795	Ddx60	3.50815048431225
796	Il1a	3.50709052743353
797	Sytl1	3.50664547201756
798	Myh8	3.50473420460136
799	Cpsf2	3.50229229198039
800	Slc34a2	3.49975111980732
801	Hnrnpa1	3.49916494863591
802	Podn	3.49887376555297
803	Gm2694	3.49811733163421
804	Fam107b	3.49440123359055
805	Eif3c	3.49357720251957
806	Rars	3.48923129347168
807	Rab37	3.48902045268166
808	Nfkbiz	3.48333982468681
809	Oaz3	3.47967379543781
810	Cfap61	3.47958011465554
811	Nlrc5	3.47647296933637
812	Pdlim2	3.4760139046579
813	Fez1	3.47600808070041
814	Eif4ebp1	3.47556333954179
815	Eno1b	3.47283764044162
816	Spaca3	3.47050953009295
817	Il18bp	3.46868426350804
818	Gnl3	3.4680993771041
819	Cntnap5b	3.46324427772046
820	Drg1	3.46300199840551
821	Tapbpl	3.46238195015474
822	Dusp5	3.45580937755319
823	Elovl3	3.45041742262401
824	Bhlhe40	3.44709969197777
825	Ush2a	3.44675388985065
826	Hoxd13	3.44508128118454
827	Fxyd5	3.44290112594125
828	Sat1	3.43830282548291
829	Gbp6	3.43801853386388
830	Fst	3.43484702479857
831	Phlda1	3.43418015015302
832	Prr7	3.43381800372513
833	D5Ertd615e	3.43354685044213
834	Kntc1	3.43308841733357
835	Gdpd4	3.43190597234067
836	Gad2	3.43165341342606
837	Hpcal1	3.42698744716781
838	Plp2	3.42692692837215
839	Aldh1b1	3.42668619933845
840	Mmp14	3.41914588397548
841	Calhm5	3.41875665611758
842	Plk3	3.41846166883714
843	Mctp2	3.41731262269073
844	Txndc12	3.41646825004833
845	Mak16	3.41606859499344
846	Naip2	3.40785290350376
847	Pou4f1	3.40586646039772
848	Ppp2r2d	3.40406706840851
849	Pet100	3.40190537964963
850	Gch1	3.39978651879547
851	Pip5k1a	3.39782237354201
852	Hhipl1	3.39635894758102
853	Mrc1	3.39592810124208
854	AI987944	3.39462641306123
855	Ppa1	3.39204227203089
856	Pxn	3.39093536041812
857	Tnfrsf1a	3.38914360325285
858	Zfp541	3.38893070923604
859	Ubl7	3.38558794795254
860	Anapc4	3.38405533986156
861	Shisa6	3.38066103567774
862	Plekha2	3.37990745909912
863	Mapre1	3.37920863147897
864	Klf9	3.37834782578008
865	Scfd1	3.37829468511406
866	Nefl	3.37725802178387
867	Tmem168	3.37641438537285
868	Itga5	3.37589219262991
869	Cadm1	3.37449861978629
